GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
2468700,160,24,,,,,,Rossville CDP,15147,6524,11515,5157,15147,11515
2469200,160,24,,,,,,Sabillasville CDP,354,149,,,354,
2469425,160,24,,,,,,St. George Island CDP,257,157,,,257,
2469550,160,24,,,,,,St. James CDP,2953,1084,1657,655,2953,1657
2469675,160,24,,,,,,St. Leonard CDP,742,252,536,178,742,536
2469825,160,24,,,,,,St. Michaels town,1029,711,1193,671,1029,1193
2469925,160,24,,,,,,Salisbury city,30343,13401,23743,9612,30343,23743
2470175,160,24,,,,,,Sandy Hook CDP,188,81,,,188,
2470300,160,24,,,,,,San Mar CDP,384,144,515,178,384,515
2470475,160,24,,,,,,Savage CDP,7054,2778,,,7054,
2470530,160,24,,,,,,Scaggsville CDP,24333,8795,,,24333,
2470775,160,24,,,,,,Seabrook CDP,17287,6195,,,17287,
2470850,160,24,,,,,,Seat Pleasant city,4542,1806,4885,1806,4542,4885
2470900,160,24,,,,,,Secretary town,535,234,503,218,535,503
2471150,160,24,,,,,,Severn CDP,44231,16469,35076,12362,44231,35076
2471200,160,24,,,,,,Severna Park CDP,37634,13551,28507,9945,37634,28507
2471450,160,24,,,,,,Shady Side CDP,5803,2588,5559,2306,5803,5559
2471460,160,24,,,,,,Shaft CDP,235,96,,,235,
2471600,160,24,,,,,,Sharpsburg town,705,325,691,304,705,691
2471650,160,24,,,,,,Sharptown town,651,290,649,283,651,649
2472350,160,24,,,,,,Silver Hill CDP,5950,2714,,,5950,
2472450,160,24,,,,,,Silver Spring CDP,71452,30522,76540,31208,71452,76540
2472887,160,24,,,,,,Smith Island CDP,276,255,364,256,276,364
2472900,160,24,,,,,,Smithsburg town,2975,1082,2146,763,2975,2146
2473075,160,24,,,,,,Snow Hill town,2103,1005,2409,964,2103,2409
2473325,160,24,,,,,,Solomons CDP,2368,1531,1536,881,2368,1536
2473350,160,24,,,,,,Somerset town,1216,423,1124,419,1216,1124
2473600,160,24,,,,,,South Kensington CDP,8462,3211,7887,3120,8462,7887
2473650,160,24,,,,,,South Laurel CDP,26112,10502,20479,8621,26112,20479
2474050,160,24,,,,,,Spencerville CDP,1594,538,,,1594,
2474282,160,24,,,,,,Springdale CDP,2994,949,2645,862,2994,2645
2474350,160,24,,,,,,Spring Gap CDP,55,34,,,55,
2474560,160,24,,,,,,Spring Ridge CDP,5795,2146,,,5795,
2475025,160,24,,,,,,Stevensville CDP,6803,2644,5880,2165,6803,5880
2475200,160,24,,,,,,Stockton CDP,92,59,143,55,92,143
2475650,160,24,,,,,,Sudlersville town,497,244,391,178,497,391
2475725,160,24,,,,,,Suitland CDP,25825,10805,,,25825,
2475810,160,24,,,,,,Summerfield CDP,10898,5725,,,10898,
2476450,160,24,,,,,,Swanton CDP,58,34,,,58,
2476550,160,24,,,,,,Sykesville town,4436,1474,4197,1420,4436,4197
2476650,160,24,,,,,,Takoma Park city,16715,7162,17299,7187,16715,17299
2476675,160,24,,,,,,Tall Timbers CDP,462,257,,,462,
2476725,160,24,,,,,,Taneytown city,6728,2554,5128,1848,6728,5128
2476925,160,24,,,,,,Taylors Island CDP,173,149,,,173,
2477100,160,24,,,,,,Temple Hills CDP,7852,3544,7792,3388,7852,7792
2477200,160,24,,,,,,Templeville town,138,43,80,37,138,80
2477825,160,24,,,,,,Thurmont town,6170,2498,5588,2193,6170,5588
2477912,160,24,,,,,,Tilghman Island CDP,784,632,854,560,784,854
2477925,160,24,,,,,,Tilghmanton CDP,465,183,,,465,
2478050,160,24,,,,,,Timonium CDP,9925,4139,,,9925,
2478120,160,24,,,,,,Tolchester CDP,329,221,,,329,
2478425,160,24,,,,,,Towson CDP,55197,22779,51793,21997,55197,51793
2478575,160,24,,,,,,Trappe town,1077,491,1146,450,1077,1146
2478650,160,24,,,,,,Travilah CDP,12159,3950,7442,2447,12159,7442
2478705,160,24,,,,,,Trego-Rohrersville Station CDP,172,64,,,172,
2479225,160,24,,,,,,Tyaskin CDP,236,139,,,236,
2479350,160,24,,,,,,Union Bridge town,975,429,989,409,975,989
2479675,160,24,,,,,,University Park town,2548,919,2318,898,2548,2318
2479875,160,24,,,,,,Upper Marlboro town,631,310,648,309,631,648
2479900,160,24,,,,,,Urbana CDP,9175,2936,,,9175,
2480075,160,24,,,,,,Vale Summit CDP,139,59,,,139,
2480600,160,24,,,,,,Vienna town,271,143,280,138,271,280
2481175,160,24,,,,,,Waldorf CDP,67752,25496,22312,7827,67752,22312
2481250,160,24,,,,,,Walker Mill CDP,11302,4564,11104,4219,11302,11104
2481275,160,24,,,,,,Walkersville town,5800,2206,5192,1793,5800,5192
2481675,160,24,,,,,,Washington Grove town,555,242,515,209,555,515
2481925,160,24,,,,,,Waterview CDP,40,36,,,40,
2482625,160,24,,,,,,West Denton CDP,52,29,,,52,
2482750,160,24,,,,,,Westernport town,1888,1006,2104,1056,1888,2104
2483025,160,24,,,,,,West Laurel CDP,4230,1509,4083,1461,4230,4083
2483100,160,24,,,,,,Westminster city,18590,7684,16731,6755,18590,16731
2483225,160,24,,,,,,West Ocean City CDP,4375,2701,3311,2075,4375,3311
2483290,160,24,,,,,,Westphalia CDP,7266,2755,,,7266,
2483337,160,24,,,,,,West Pocomoke CDP,454,251,498,239,454,498
2483746,160,24,,,,,,Whaleyville CDP,149,66,124,64,149,124
2483775,160,24,,,,,,Wheaton CDP,48284,15396,,,48284,
2484225,160,24,,,,,,Whitehaven CDP,43,37,,,43,
2484350,160,24,,,,,,White Marsh CDP,9513,3794,8485,3420,9513,8485
2484375,160,24,,,,,,White Oak CDP,17403,6865,20973,8139,17403,20973
2484950,160,24,,,,,,Willards town,958,398,938,386,958,938
2485100,160,24,,,,,,Williamsport town,2137,1080,1868,836,2137,1868
2485175,160,24,,,,,,Williston CDP,155,68,,,155,
2485395,160,24,,,,,,Wilson-Conococheague CDP,2282,920,1885,752,2282,1885
2486275,160,24,,,,,,Woodland CDP,113,44,,,113,
2486475,160,24,,,,,,Woodlawn CDP,37879,15417,36079,14547,37879,36079
2486525,160,24,,,,,,Woodlawn CDP,6334,1886,6251,2183,6334,6251
2486710,160,24,,,,,,Woodmore CDP,3936,1406,6077,2019,3936,6077
2486750,160,24,,,,,,Woodsboro town,1141,443,846,295,1141,846
2487000,160,24,,,,,,Worton CDP,249,117,,,249,
2487150,160,24,,,,,,Yarrowsburg CDP,133,65,,,133,
2487275,160,24,,,,,,Zihlman CDP,362,172,,,362,
